"","MetaID","3317A","3318A","3319A","3320A","3321A","3322A","3325A","3326A"
"2877","261.15021_6.637",1.20397280432594,2.70805020110221,2.30258509299405,1.09861228866811,0.916290731874156,-1.04982212449868,-1.6094379124341,-0.405465108108165
"2878","261.15685_1.979",0.28768207245178,0,0,2.19722457733622,-1.04982212449868,0.693147180559945,-1.04982212449868,0.980829253011725
"2879","261.16802_3.815",0.51082562376599,1.6094379124341,0.693147180559945,0,0,1.09861228866811,-1.04982212449868,-1.20397280432594
"2880","261.16805_9.848",-2.70805020110221,-0.916290731874156,-2.99573227355399,-2.30258509299405,-1.38629436111989,-2.30258509299405,0,0
"2881","261.16806_2.476",-1.20397280432594,-1.89711998488588,-1.89711998488588,-0.356674943938733,-0.79850769621777,-1.38629436111989,-2.30258509299405,-1.09861228866811
"2882","261.19378_2.403",0,2.30258509299405,2.30258509299405,0,0,0,-2.30258509299405,-1.32175583998232
"2883","261.20439_2.403",0.28768207245178,0.405465108108164,0,4.49980967033027,2.70805020110221,2.70805020110221,-1.38629436111989,0.28768207245178
"2884","261.88054_15.029",-4.0943445622221,-5.80914299031403,-4.19970507787993,-2.99573227355399,0.405465108108165,-3.91202300542815,-5.80914299031403,0
"2885","261.88695_21.25",0.847297860387203,1.25276296849537,2.30258509299405,1.6094379124341,1.09861228866811,1.09861228866811,2.30258509299405,2.30258509299405
"2886","261.89873_13.86",0,-1.38629436111989,-1.38629436111989,-1.20397280432594,-1.89711998488588,-1.89711998488588,-2.99573227355399,-2.70805020110221
"2887","261.9129_21.383",4.19970507787993,3.91202300542815,3.40119738166216,3.91202300542814,3.91202300542815,3.91202300542815,3.40119738166216,4.89285225843987
"2888","261.94658_13.553",-3.91202300542815,-5.29831736654804,-4.19970507787993,-2.99573227355399,-3.68887945411394,-3.68887945411394,-5.29831736654804,-4.0943445622221
"2889","262.02598_6.172",-2.01490302054227,2.30258509299405,-2.30258509299405,-1.6094379124341,-1.89711998488588,-1.20397280432594,-1.89711998488588,2.30258509299405
"2890","262.04893_9.473",-2.01490302054227,-3.10109278921182,-1.89711998488588,-1.20397280432594,-1.89711998488588,-1.89711998488588,-0.916290731874156,-1.45528723260684
"2891","262.051_6.674",0,-1.89711998488588,-2.99573227355399,-2.30258509299405,1.25276296849537,0.693147180559945,3.55534806148941,5.11599580975408
"2892","262.0648_1.374",-1.09861228866811,-2.99573227355399,-2.99573227355399,0,-0.693147180559944,-0.916290731874154,5.7037824746562,3.50655789731998
"2893","262.0858_2.364",0.693147180559945,-0.693147180559945,-0.693147180559945,1.09861228866811,0.693147180559945,0.916290731874156,2.99573227355399,-0.405465108108165
"2894","262.08817_6.556",-0.405465108108165,-0.693147180559945,-1.04982212449868,-0.693147180559945,-1.38629436111989,-1.38629436111989,-1.6094379124341,-1.09861228866811
"2895","262.09514_2.603",-0.405465108108165,-1.6094379124341,-1.38629436111989,-0.510825623765992,-0.79850769621777,-0.693147180559944,1.09861228866811,0
"2896","262.09516_5.014",1.09861228866811,0,0.405465108108164,1.38629436111989,1.25276296849537,1.38629436111989,0,3.50655789731998
"2897","262.09517_6.062",1.20397280432594,0.916290731874154,1.50407739677627,0,-0.916290731874154,0,3.91202300542815,3.40119738166216
"2898","262.10825_3.088",2.30258509299405,0.693147180559945,0.693147180559945,2.30258509299405,2.70805020110221,2.99573227355399,2.70805020110221,2.81341071676004
"2899","262.11607_4.75",2.99573227355399,-0.693147180559945,1.6094379124341,0,1.09861228866811,0.405465108108165,-1.04982212449868,2.30258509299405
"2900","262.11613_2.49",0.693147180559945,-0.693147180559945,-0.693147180559945,1.6094379124341,0.693147180559945,0.916290731874156,0.693147180559945,1.89711998488588
"2901","262.11629_3.458",0.51082562376599,1.09861228866811,0.405465108108164,0.693147180559944,0.693147180559945,1.38629436111989,-0.693147180559945,1.20397280432594
"2902","262.11639_6.89",-1.09861228866811,-1.6094379124341,-2.30258509299405,-1.20397280432594,-1.20397280432594,-1.04982212449868,-0.693147180559945,-0.405465108108165
"2903","262.13092_7.694",-0.405465108108165,-1.89711998488588,-0.693147180559945,-0.693147180559945,-1.20397280432594,-1.20397280432594,3.40119738166216,3.14988295338125
"2904","262.13094_3.246",-1.20397280432594,-1.89711998488588,-1.38629436111989,-1.20397280432594,-0.916290731874154,-0.79850769621777,-2.99573227355399,-1.79175946922805
"2905","262.13106_8.285",-1.09861228866811,3.68887945411394,3.80666248977032,-1.20397280432594,-0.916290731874154,-0.693147180559944,3.91202300542815,3.28341434600577
"2906","262.1311_6.882",1.89711998488588,2.30258509299405,2.30258509299405,2.99573227355399,3.40119738166216,3.55534806148941,3.91202300542815,3.50655789731998
"2907","262.13413_6.055",1.20397280432594,1.50407739677627,1.38629436111989,0.693147180559944,0.916290731874156,1.38629436111989,3.55534806148941,4.89285225843987
"2908","262.14146_2.553",-1.20397280432594,-1.6094379124341,-2.30258509299405,-1.20397280432594,-1.20397280432594,-0.693147180559944,-1.89711998488588,-1.79175946922805
"2909","262.15193_4.441",-1.09861228866811,-1.6094379124341,-1.89711998488588,-0.916290731874156,-0.693147180559944,-1.04982212449868,-0.798507696217772,-1.45528723260684
"2910","262.18831_9.004",-2.30258509299405,0,2.99573227355399,-1.20397280432594,-1.38629436111989,0.693147180559945,2.70805020110221,0
"2911","263.04625_2.514",0.28768207245178,-1.20397280432594,-1.04982212449868,0.693147180559944,0.405465108108165,0.693147180559945,2.30258509299405,-0.405465108108165
"2912","263.06727_8.397",-2.70805020110221,1.6094379124341,0.405465108108164,-2.52572864430826,-3.10109278921182,-2.99573227355399,1.6094379124341,1.20397280432594
"2913","263.08253_6.443",-0.405465108108165,-1.04982212449868,-1.20397280432594,-0.693147180559945,-0.79850769621777,-0.693147180559944,-1.20397280432594,-0.405465108108165
"2914","263.08333_1.766",4.19970507787993,1.6094379124341,0.693147180559945,3.91202300542814,3.68887945411394,0.693147180559945,0.916290731874154,0.51082562376599
"2915","263.11858_5.013",2.81341071676004,3.91202300542815,2.99573227355399,0,0,0.405465108108165,-0.916290731874156,0.28768207245178
"2916","263.13682_5.168",0.28768207245178,-2.30258509299405,-2.30258509299405,-1.20397280432594,0,2.70805020110221,-2.30258509299405,-2.01490302054227
"2917","263.15201_1.622",2.81341071676004,5.52146091786225,6.21460809842219,1.6094379124341,0.405465108108165,0.405465108108165,1.25276296849537,0.28768207245178
