group,medium,pathogen,dose,c_num,c_name,auc_luc_div_od,exp_n,DMSO_mean,auc_norm
LB_EHEC-FliC_10uM_C-16,LB,EHEC-FliC,10,16,Pimelic acid,204167.84567188498,60,203403.24369696341,1.003759045141191
LB_EHEC-FliC_10uM_C-16,LB,EHEC-FliC,10,16,Pimelic acid,197552.50976968222,60,203403.24369696341,0.9712357884715064
LB_EHEC-FliC_10uM_C-15,LB,EHEC-FliC,10,15,Uracil,213565.55070020742,60,203403.24369696341,1.0499613812372832
LB_EHEC-FliC_10uM_C-21,LB,EHEC-FliC,10,21,Heptanoic acid,293304.2986220145,70,210645.63318267275,1.3924062615988808
LB_EHEC-FliC_10uM_C-15,LB,EHEC-FliC,10,15,Uracil,218771.60421148856,60,203403.24369696341,1.0755561230745239
LB_EHEC-FliC_10uM_C-15,LB,EHEC-FliC,10,15,Uracil,217625.2318598542,60,203403.24369696341,1.0699201640268783
LB_EHEC-FliC_10uM_C-7,LB,EHEC-FliC,10,7,DL-Arginine,225473.53696907338,63,190057.89500505888,1.186341335428722
LB_EHEC-FliC_10uM_C-23,LB,EHEC-FliC,10,23,Spiramycin,207259.6401665976,61,206463.06473617366,1.0038581982275707
LB_EHEC-FliC_10uM_C-15,LB,EHEC-FliC,10,15,Uracil,197032.46768388618,60,203403.24369696341,0.968679083493041
LB_EHEC-FliC_10uM_C-14,LB,EHEC-FliC,10,14,Isoleucine,198737.72213405278,60,203403.24369696341,0.9770626983222476
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,194944.49996231988,60,203403.24369696341,0.9584139191642114
LB_EHEC-FliC_10uM_C-14,LB,EHEC-FliC,10,14,Isoleucine,198633.60665673265,60,203403.24369696341,0.9765508309821415
LB_EHEC-FliC_10uM_C-10,LB,EHEC-FliC,10,10,Hexanoic acid,339192.48752159486,61,206463.06473617366,1.6428724815987203
LB_EHEC-FliC_10uM_C-14,LB,EHEC-FliC,10,14,Isoleucine,195596.79112885433,60,203403.24369696341,0.9616208059113385
LB_EHEC-FliC_10uM_C-14,LB,EHEC-FliC,10,14,Isoleucine,183909.03757351215,60,203403.24369696341,0.9041598070456813
LB_EHEC-FliC_10uM_C-13,LB,EHEC-FliC,10,13,DL-Homoserine,195546.109756443,60,203403.24369696341,0.9613716389290909
LB_EHEC-FliC_10uM_C-29,LB,EHEC-FliC,10,29,PAC,138625.4135933465,68,177110.22981399036,0.7827069827583507
LB_EHEC-FliC_10uM_C-13,LB,EHEC-FliC,10,13,DL-Homoserine,199185.89753825616,60,203403.24369696341,0.9792660820837725
LB_EHEC-FliC_10uM_C-13,LB,EHEC-FliC,10,13,DL-Homoserine,194447.2863331981,60,203403.24369696341,0.9559694466961983
LB_EHEC-FliC_10uM_C-13,LB,EHEC-FliC,10,13,DL-Homoserine,192260.4358996954,60,203403.24369696341,0.9452181410938121
LB_EHEC-FliC_10uM_C-12,LB,EHEC-FliC,10,12,UDP-N-acetylglucosamine,208646.06946922909,60,203403.24369696341,1.0257755268646385
LB_EHEC-FliC_10uM_C-3,LB,EHEC-FliC,10,3,Cystathionine,210524.0573377205,61,206463.06473617366,1.019669341858972
LB_EHEC-FliC_10uM_C-12,LB,EHEC-FliC,10,12,UDP-N-acetylglucosamine,212194.5774239735,60,203403.24369696341,1.0432212071313263
LB_EHEC-FliC_10uM_C-12,LB,EHEC-FliC,10,12,UDP-N-acetylglucosamine,204950.68374553588,60,203403.24369696341,1.007607745188557
LB_EHEC-FliC_10uM_C-18,LB,EHEC-FliC,10,18,Silibinin,225997.30784188554,61,206463.06473617366,1.094613741836456
LB_EHEC-FliC_10uM_C-12,LB,EHEC-FliC,10,12,UDP-N-acetylglucosamine,212497.12900938644,60,203403.24369696341,1.0447086543318422
LB_EHEC-FliC_10uM_C-11,LB,EHEC-FliC,10,11,Deoxycholic acid,203681.92657688467,60,203403.24369696341,1.0013701004706514
LB_EHEC-FliC_10uM_C-11,LB,EHEC-FliC,10,11,Deoxycholic acid,200694.66561052957,60,203403.24369696341,0.9866837025939017
LB_EHEC-FliC_10uM_C-11,LB,EHEC-FliC,10,11,Deoxycholic acid,204979.34835102546,60,203403.24369696341,1.0077486702051328
LB_EHEC-FliC_10uM_C-11,LB,EHEC-FliC,10,11,Deoxycholic acid,203143.99029089115,60,203403.24369696341,0.9987254214762744
LB_EHEC-FliC_10uM_C-1,LB,EHEC-FliC,10,1,L-Tyrosine methyl ester,262124.4484034904,60,203403.24369696341,1.2886935509937671
